parent_task,candidate_id,task,status,volume_a3,static_energy_ev
E4-candidate_0000,candidate_0000,E4-candidate_0000-v0,complete,167.49734261486105,-117.96704833
E4-candidate_0000,candidate_0000,E4-candidate_0000-v1,complete,172.84300248554825,-118.57382446
E4-candidate_0000,candidate_0000,E4-candidate_0000-v2,complete,178.18866235623523,-118.7618091
E4-candidate_0000,candidate_0000,E4-candidate_0000-v3,complete,183.53432222692226,-118.59643094
E4-candidate_0000,candidate_0000,E4-candidate_0000-v4,complete,188.87998209760943,-118.14116295
E4-candidate_0004,candidate_0004,E4-candidate_0004-v0,complete,54.73312974294662,-43.31096561
E4-candidate_0004,candidate_0004,E4-candidate_0004-v1,complete,56.479931756019376,-43.52595278
E4-candidate_0004,candidate_0004,E4-candidate_0004-v2,complete,58.22673376909213,-43.59285842
E4-candidate_0004,candidate_0004,E4-candidate_0004-v3,complete,59.9735357821649,-43.53573971
E4-candidate_0004,candidate_0004,E4-candidate_0004-v4,complete,61.72033779523765,-43.37457357
E4-candidate_0006,candidate_0006,E4-candidate_0006-v0,complete,217.98569180358385,-177.19129227
E4-candidate_0006,candidate_0006,E4-candidate_0006-v1,complete,224.9426819675278,-178.07673056
E4-candidate_0006,candidate_0006,E4-candidate_0006-v2,complete,231.8996721314721,-178.3561498
E4-candidate_0006,candidate_0006,E4-candidate_0006-v3,complete,238.85666229541633,-178.1273865
E4-candidate_0006,candidate_0006,E4-candidate_0006-v4,complete,245.81365245936064,-177.47333545
E4-candidate_0009,candidate_0009,E4-candidate_0009-v0,complete,260.9816110470066,-186.06845159
E4-candidate_0009,candidate_0009,E4-candidate_0009-v1,complete,269.3108113995703,-186.99065198
E4-candidate_0009,candidate_0009,E4-candidate_0009-v2,complete,277.64001175213446,-187.27987841
E4-candidate_0009,candidate_0009,E4-candidate_0009-v3,complete,285.96921210469816,-187.04314693
E4-candidate_0009,candidate_0009,E4-candidate_0009-v4,complete,294.2984124572622,-186.37258894
E4-candidate_0011,candidate_0011,E4-candidate_0011-v0,complete,199.71694228409652,-165.94097429
E4-candidate_0011,candidate_0011,E4-candidate_0011-v1,complete,206.09088725061045,-166.68622102
E4-candidate_0011,candidate_0011,E4-candidate_0011-v2,complete,212.46483221712433,-166.92522639
E4-candidate_0011,candidate_0011,E4-candidate_0011-v3,complete,218.838777183638,-166.73885186
E4-candidate_0011,candidate_0011,E4-candidate_0011-v4,complete,225.21272215015154,-166.1950601
E4-candidate_0013,candidate_0013,E4-candidate_0013-v0,complete,81.49302791763864,-68.36159942
E4-candidate_0013,candidate_0013,E4-candidate_0013-v1,complete,84.093869234159,-68.69686553
E4-candidate_0013,candidate_0013,E4-candidate_0013-v2,complete,86.6947105506794,-68.80123923
E4-candidate_0013,candidate_0013,E4-candidate_0013-v3,complete,89.29555186719979,-68.71188869
E4-candidate_0013,candidate_0013,E4-candidate_0013-v4,complete,91.89639318372014,-68.46055495
E4-candidate_0015,candidate_0015,E4-candidate_0015-v0,complete,121.89320288536443,-97.06787317
E4-candidate_0015,candidate_0015,E4-candidate_0015-v1,complete,125.78341148808883,-97.56634446
E4-candidate_0015,candidate_0015,E4-candidate_0015-v2,complete,129.6736200908133,-97.72457443
E4-candidate_0015,candidate_0015,E4-candidate_0015-v3,complete,133.56382869353757,-97.59839622
E4-candidate_0015,candidate_0015,E4-candidate_0015-v4,complete,137.45403729626207,-97.23443266
E4-candidate_0017,candidate_0017,E4-candidate_0017-v0,complete,53.9685468044943,-44.62651715
E4-candidate_0017,candidate_0017,E4-candidate_0017-v1,complete,55.690947234424954,-44.85202603
E4-candidate_0017,candidate_0017,E4-candidate_0017-v2,complete,57.41334766435561,-44.92261558
E4-candidate_0017,candidate_0017,E4-candidate_0017-v3,complete,59.135748094286264,-44.86332457
E4-candidate_0017,candidate_0017,E4-candidate_0017-v4,complete,60.858148524216936,-44.6955351
E4-candidate_0023,candidate_0023,E4-candidate_0023-v0,complete,210.91257710019576,-189.81067977
E4-candidate_0023,candidate_0023,E4-candidate_0023-v1,complete,217.64382956084066,-190.58488039
E4-candidate_0023,candidate_0023,E4-candidate_0023-v2,complete,224.3750820214851,-190.82650075
E4-candidate_0023,candidate_0023,E4-candidate_0023-v3,complete,231.10633448212974,-190.62079522
E4-candidate_0023,candidate_0023,E4-candidate_0023-v4,complete,237.83758694277432,-190.04097977
E4-candidate_0025,candidate_0025,E4-candidate_0025-v0,complete,244.76037679381668,-172.09884497
E4-candidate_0025,candidate_0025,E4-candidate_0025-v1,complete,252.57187818085313,-173.01922891
E4-candidate_0025,candidate_0025,E4-candidate_0025-v2,complete,260.38337956789,-173.29919142
E4-candidate_0025,candidate_0025,E4-candidate_0025-v3,complete,268.1948809549266,-173.04690082
E4-candidate_0025,candidate_0025,E4-candidate_0025-v4,complete,276.00638234196344,-172.35458515
E4-candidate_0034,candidate_0034,E4-candidate_0034-v0,complete,108.13023583521355,-84.53348152
E4-candidate_0034,candidate_0034,E4-candidate_0034-v1,complete,111.58120080867789,-84.9714379
