parent_task,candidate_id,formula,role,n_points,refit_b0_gpa,refit_v0_a3,refit_bp,refit_e0_ev,refit_rms_ev,optimizer_nfev,published_b0_gpa,signed_error_gpa,absolute_error_gpa,relative_error,published_v0_a3,published_bp,published_rms_ev,uma_bulk_modulus_gpa,pss
E4-candidate_0000,candidate_0000,Ir5Os7,control,5,349.17249495380423,178.19935637597462,5.079203482583951,-118.76097544662285,0.0005216789605593569,6,349.17249373800047,1.215803763443546e-06,1.215803763443546e-06,3.4819574429474306e-09,178.19935624996396,5.079204891071073,0.0005216789605778956,375.547605320632,-0.569329827009457
E4-candidate_0004,candidate_0004,ReIrOs2,control,5,377.7785423080868,58.24437877242805,4.880492210282421,-43.59287877211462,8.782418990020816e-06,5,377.7785423506457,-4.2558895074762404e-08,4.2558895074762404e-08,1.1265567072695245e-10,58.24437877408939,4.880492153814046,8.78241899023533e-06,390.44888326733593,0.24151701209006252
E4-candidate_0006,candidate_0006,Re3Ir2Os11,priority,5,387.6626618755591,232.04251038492382,4.896842026936456,-178.35615722737364,6.194685373127128e-05,5,387.6626618704476,5.111473910801578e-09,5.111473910801578e-09,1.3185365560198764e-11,232.04251039045647,4.8968419807658785,6.194685372751364e-05,411.0616768457807,0.24404412141388646
E4-candidate_0009,candidate_0009,Ir2Os7,screened,5,334.60510341838034,277.7962349801534,5.282656010566612,-187.27966312617104,0.00019203397753027695,7,334.60510343002227,-1.1641930086625507e-08,1.1641930086625507e-08,3.479304400107647e-11,277.7962349846521,5.28265597874528,0.00019203397752392987,381.5342990134223,-0.6378596707391505
E4-candidate_0011,candidate_0011,Re5Os2,screened,5,353.7676379404119,212.67579550026926,4.801144154149803,-166.92543990597943,1.122979648052508e-05,5,353.7676379343284,6.083496373321395e-09,6.083496373321395e-09,1.7196305486966858e-11,212.67579550006855,4.801144156261096,1.12297964790892e-05,387.24363800617584,-0.6514096948257566
E4-candidate_0013,candidate_0013,ReOs5,priority,5,395.78587355128445,86.71917690172063,4.897915079262049,-68.80118680422287,3.81130201796578e-05,7,395.78587347034556,8.093888936855365e-08,8.093888936855365e-08,2.0450171366365866e-10,86.71917689955198,4.89791512929682,3.811302017957242e-05,404.20840259059185,-0.5196694573966908
E4-candidate_0015,candidate_0015,IrOs8,priority,5,387.8549750660448,129.77740469367984,4.970728715876402,-97.7246756348373,3.6524547596226454e-07,7,387.85497505609504,9.949758350558113e-09,9.949758350558113e-09,2.5653295665780982e-11,129.77740469342535,4.9707287205579,3.652454765071592e-07,401.2719932257208,1.5830192982804112
E4-candidate_0017,candidate_0017,Os,priority,5,400.38451337632415,57.4374897847278,4.926959135691867,-44.92258610694427,2.6362285862330493e-05,7,400.3845134329008,-5.657665269609424e-08,5.657665269609424e-08,1.4130579679769695e-10,57.43748978389274,4.926959162776914,2.6362285862716127e-05,436.6152921537611,1.8690700158446896
E4-candidate_0023,candidate_0023,Re8B2Os5C3,control,5,352.95748400601155,224.44852861067076,4.8754837999592615,-190.82635238726166,0.0001093268395019878,5,352.95748395397504,5.2036511988262646e-08,5.2036511988262646e-08,1.4742997203325515e-10,224.44852861601012,4.875483754937853,0.00010932683950276725,365.052323059289,-0.14773976048900972
E4-candidate_0025,candidate_0025,Ir2Os,control,5,362.63340017857985,260.3432777055387,5.239818972378664,-173.29897782074946,0.00013792233135920362,5,362.6334002272841,-4.870423708780436e-08,4.870423708780436e-08,1.343070910105867e-10,260.3432777529864,5.239818615959068,0.0001379223313733432,381.80651775087904,-0.5230669565525191
